"DATE","TIME","SYSID","TYPE","VOLSER","ADDR","DEVICE","ALLOC","MIN","MAX","AVG","BAD","INUSE%","XTIME","IO REQ","PAGEX","VIO","DSNAME"
2019/04/25,17:39:00,"A1","PLPA","YDSA1A","C094","33909",17999,16018,16018,16018,0,0.00,0.000,0,0,,PAGE.A1.PLPA
2019/04/25,17:39:00,"A1","COMMON","YDSA1A","C094","33909",17999,37,37,37,0,0.00,0.000,0,0,,PAGE.A1.COMMON
2019/04/25,17:39:00,"A1","LOCAL","YDSA1A","C094","33909",179999,0,0,0,0,0.00,0.000,0,0,Y,PAGE.A1.LOCAL1
2019/04/25,17:39:00,"A1","LOCAL","YDSA1A","C094","33909",179999,0,0,0,0,0.00,0.000,0,0,Y,PAGE.A1.LOCAL2
2019/04/25,17:39:00,"A1","LOCAL","YDSA1A","C094","33909",179999,0,0,0,0,0.00,0.000,0,0,Y,PAGE.A1.LOCAL3
2019/04/25,17:39:00,"A1","SCM","N/A","N/A","N/A",0,0,0,0,0,0.00,0.000,0,0,,N/A
2019/04/25,17:39:00,"A2","PLPA","YDSA2A","C18A","33909",17999,16018,16018,16018,0,0.00,0.000,0,0,,PAGE.A2.PLPA
2019/04/25,17:39:00,"A2","COMMON","YDSA2A","C18A","33909",17999,37,37,37,0,0.00,0.000,0,0,,PAGE.A2.COMMON
2019/04/25,17:39:00,"A2","LOCAL","YDSA2A","C18A","33909",179999,0,0,0,0,0.00,0.000,0,0,Y,PAGE.A2.LOCAL1
2019/04/25,17:39:00,"A2","LOCAL","YDSA2A","C18A","33909",179999,0,0,0,0,0.00,0.000,0,0,Y,PAGE.A2.LOCAL2
2019/04/25,17:39:00,"A2","LOCAL","YDSA2A","C18A","33909",179999,0,0,0,0,0.00,0.000,0,0,Y,PAGE.A2.LOCAL3
2019/04/25,17:39:00,"A2","SCM","N/A","N/A","N/A",0,0,0,0,0,0.00,0.000,0,0,,N/A
2019/04/25,17:39:00,"F1","PLPA","YDSF1A","8DD8","33909",17999,16003,16003,16003,0,0.00,0.000,0,0,,PAGE.F1.PLPA
2019/04/25,17:39:00,"F1","COMMON","YDSF1A","8DD8","33909",17999,37,37,37,0,0.00,0.000,0,0,,PAGE.F1.COMMON
2019/04/25,17:39:00,"F1","LOCAL","YDSF1A","8DD8","33909",120059,0,0,0,0,0.00,0.000,0,0,Y,PAGE.F1.LOCAL1
2019/04/25,17:39:00,"F1","LOCAL","YDSF1A","8DD8","33909",120059,0,0,0,0,0.00,0.000,0,0,Y,PAGE.F1.LOCAL2
2019/04/25,17:39:00,"F1","LOCAL","YDSF1A","8DD8","33909",120059,0,0,0,0,0.00,0.000,0,0,Y,PAGE.F1.LOCAL3
2019/04/25,17:39:00,"F1","SCM","N/A","N/A","N/A",0,0,0,0,0,0.00,0.000,0,0,,N/A
2019/04/25,17:39:00,"F2","PLPA","YDSF2A","8DD9","33909",17999,16003,16003,16003,0,0.00,0.000,0,0,,PAGE.F2.PLPA
2019/04/25,17:39:00,"F2","COMMON","YDSF2A","8DD9","33909",17999,37,37,37,0,0.00,0.000,0,0,,PAGE.F2.COMMON
2019/04/25,17:39:00,"F2","LOCAL","YDSF2A","8DD9","33909",120059,0,0,0,0,0.00,0.000,0,0,Y,PAGE.F2.LOCAL1
2019/04/25,17:39:00,"F2","LOCAL","YDSF2A","8DD9","33909",120059,0,0,0,0,0.00,0.000,0,0,Y,PAGE.F2.LOCAL2
2019/04/25,17:39:00,"F2","LOCAL","YDSF2A","8DD9","33909",120059,0,0,0,0,0.00,0.000,0,0,Y,PAGE.F2.LOCAL3
2019/04/25,17:39:00,"F2","SCM","N/A","N/A","N/A",0,0,0,0,0,0.00,0.000,0,0,,N/A
